user_id,date,exercise_name,exercise_type,duration_minutes,calories_burned,timestamp
user_0000,2025-08-24,Elliptical,cardio,72,581,2025-08-24T07:35:24.013913
user_0000,2025-09-07,Pilates,flexibility,63,184,2025-09-07T10:17:24.013913
user_0000,2025-10-11,Yoga,flexibility,13,50,2025-10-11T15:54:24.013913
user_0000,2025-10-20,Tai Chi,flexibility,39,113,2025-10-20T06:22:24.013913
user_0000,2025-10-27,Tennis,sports,53,732,2025-10-27T16:32:24.013913
user_0000,2025-10-27,Tai Chi,flexibility,68,201,2025-10-27T17:24:24.013913
user_0000,2025-10-29,Push-ups,strength,65,363,2025-10-29T16:52:24.013913
user_0000,2025-10-30,Soccer,sports,76,558,2025-10-30T06:19:24.013913
user_0000,2025-11-01,Bench Press,strength,27,76,2025-11-01T13:46:24.013913
user_0000,2025-11-01,Tennis,sports,49,411,2025-11-01T19:20:24.013913
user_0000,2025-11-02,Swimming,cardio,10,88,2025-11-02T12:50:24.013913
user_0000,2025-11-04,Soccer,sports,10,157,2025-11-04T15:14:24.013913
user_0001,2025-09-08,Elliptical,cardio,79,720,2025-09-08T07:13:24.013913
user_0001,2025-09-25,Squats,strength,36,154,2025-09-25T21:44:24.013913
user_0001,2025-09-27,Cycling,cardio,50,203,2025-09-27T16:53:24.013913
user_0001,2025-10-07,Pilates,flexibility,65,147,2025-10-07T13:45:24.013913
user_0001,2025-10-07,Stretching,flexibility,29,124,2025-10-07T18:24:24.013913
user_0001,2025-10-28,Weight Lifting,strength,65,399,2025-10-28T15:25:24.013913
user_0001,2025-10-31,Badminton,sports,75,491,2025-10-31T09:00:24.013913
user_0001,2025-11-01,Stretching,flexibility,69,231,2025-11-01T12:51:24.013913
user_0001,2025-11-01,Weight Lifting,strength,41,146,2025-11-01T09:30:24.013913
user_0001,2025-11-03,Stretching,flexibility,48,107,2025-11-03T11:31:24.013913
user_0001,2025-11-13,Tai Chi,flexibility,74,261,2025-11-13T22:27:24.013913
user_0001,2025-11-18,Volleyball,sports,57,312,2025-11-18T21:32:24.013913
user_0002,2025-09-10,Swimming,cardio,37,297,2025-09-10T06:55:24.013913
user_0002,2025-09-10,Stretching,flexibility,48,158,2025-09-10T08:56:24.013913
user_0002,2025-09-15,Walking,cardio,41,306,2025-09-15T06:34:24.013913
user_0002,2025-09-16,Volleyball,sports,50,554,2025-09-16T13:58:24.013913
user_0002,2025-09-16,Soccer,sports,63,741,2025-09-16T11:32:24.013913
user_0002,2025-09-19,Foam Rolling,flexibility,47,192,2025-09-19T19:05:24.013913
user_0002,2025-10-07,Yoga,flexibility,61,219,2025-10-07T22:41:24.013913
user_0002,2025-10-16,Squats,strength,31,209,2025-10-16T07:37:24.013913
user_0002,2025-10-16,Basketball,sports,63,768,2025-10-16T10:44:24.013913
user_0002,2025-10-18,Walking,cardio,41,319,2025-10-18T16:16:24.013913
user_0002,2025-10-26,Cycling,cardio,31,153,2025-10-26T06:27:24.013913
user_0002,2025-11-10,Soccer,sports,52,151,2025-11-10T12:59:24.013913
user_0002,2025-11-11,Foam Rolling,flexibility,56,169,2025-11-11T20:04:24.013913
user_0002,2025-11-18,Bench Press,strength,57,327,2025-11-18T15:17:24.013913
user_0003,2025-09-02,Squats,strength,26,94,2025-09-02T15:17:24.013913
user_0003,2025-09-05,Stretching,flexibility,64,219,2025-09-05T20:26:24.013913
user_0003,2025-09-12,Foam Rolling,flexibility,64,187,2025-09-12T16:17:24.013913
user_0003,2025-09-21,Swimming,cardio,25,212,2025-09-21T16:49:24.013913
user_0003,2025-09-29,Cycling,cardio,50,446,2025-09-29T17:45:24.013913
user_0003,2025-09-30,Morning Run,cardio,34,317,2025-09-30T08:51:24.013913
user_0003,2025-10-04,Foam Rolling,flexibility,20,65,2025-10-04T09:28:24.013913
user_0003,2025-10-09,Squats,strength,47,239,2025-10-09T18:17:24.013913
user_0003,2025-10-16,Squats,strength,40,331,2025-10-16T16:50:24.013913
